name,domain,type
Ecole Polytechnique,polytechnique.edu,University
California Colleges,californiacolleges.edu,University
National Research,nationalresearch.com,Company
Punahou,punahou.edu,High School
Exeter College,exe-coll.ac.uk,University
Quantworks,quantworks.com,Company
Epitech,epitech.eu,Company
Tecnico Lisboa,tecnico.ulisboa.pt,University
Academy for Science and Design,asdnh.org,High School
Horace Mann School,horacemann.org,High School
Shaw,shaw.ca,Company
Futurice,futurice.com,Company
Seznam,seznam.cz,Company
Boopsie,boopsie.com,Company
HCM,hubcitymedia.com,Company
Paderborn University,mail.upb.de,University
Altassian,atlassian.com,Company
Asimmetric,asimmetric.com,Company
Proekspert,proekspert.ee,Company
DoubleDutch,doubledutch.me,Company
Allstate,allstate.com,Company
Dreamix,dreamix.eu,Company
KU Leuven,student.kuleuven.be,University
Green Brick Labs,greenbricklabs.com,Company
Verst,verst.co,Company
Qure.ai,qure.ai,Company
Teleopti,teleopti.com,Company
Wargaming.net, wargaming.net,Company
AQR,aqr.com,Company
Derivco,derivco.co.za,Company
Nerdery,nerdery.com,Company
Citi,citi.com,Company
